user_id,product_id,interaction_type,interaction_score,product_category,product_description,review_text,semantic_vector,latent_user_feature,latent_item_feature,target_recommendation_score
U137,P090,review,0.498,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.413, 0.737, 0.944, 0.833, 0.087]",0.037,0.432,0.638
U152,P043,view,0.299,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.459, 0.072, 0.594, 0.934, 0.161]",-0.116,0.082,0.282
U020,P070,add_to_cart,0.655,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.663, 0.347, 0.086, 0.036, 0.213]",-0.038,0.196,0.712
U042,P056,add_to_cart,0.652,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.67, 0.487, 0.659, 0.219, 0.662]",0.415,0.105,0.833
U187,P037,add_to_cart,0.407,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.094, 0.723, 0.115, 0.811, 0.101]",-0.865,-0.107,0.093
U003,P089,purchase,0.841,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.922, 0.627, 0.945, 0.751, 0.857]",0.696,0.961,1.296
U046,P007,add_to_cart,0.59,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.138, 0.685, 0.08, 0.912, 0.329]",-0.123,0.322,0.696
U100,P051,view,0.298,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.243, 0.512, 0.972, 0.4, 0.093]",0.491,-0.739,0.202
U150,P075,add_to_cart,0.422,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.746, 0.618, 0.47, 0.241, 0.134]",0.543,0.713,0.756
U149,P062,add_to_cart,0.617,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.803, 0.952, 0.952, 0.229, 0.519]",-0.876,0.305,0.478
U139,P068,review,0.481,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.128, 0.237, 0.625, 0.285, 0.166]",0.936,0.547,0.914
U033,P030,review,0.79,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.945, 0.938, 0.192, 0.286, 0.345]",-0.211,-0.541,0.557
U048,P055,review,0.507,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.599, 0.825, 0.271, 0.51, 0.54]",-0.552,0.204,0.389
U108,P092,purchase,0.918,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.763, 0.238, 0.552, 0.037, 0.686]",0.016,0.556,1.133
U037,P054,add_to_cart,0.448,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.919, 0.951, 0.432, 0.326, 0.879]",0.372,0.154,0.619
U100,P020,purchase,0.942,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.579, 0.106, 0.632, 0.645, 0.802]",0.194,0.959,1.332
U147,P082,add_to_cart,0.506,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.206, 0.506, 0.161, 0.977, 0.227]",-0.721,0.596,0.464
U179,P072,view,0.174,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.589, 0.155, 0.425, 0.251, 0.832]",0.443,-0.002,0.329
U189,P035,purchase,0.788,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.387, 0.339, 0.853, 0.444, 0.039]",-0.973,0.559,0.655
U096,P030,purchase,0.716,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.574, 0.996, 0.483, 0.602, 0.231]",0.057,0.679,0.91
U134,P006,purchase,0.82,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.47, 0.124, 0.765, 0.671, 0.562]",0.551,0.049,1.013
U109,P072,add_to_cart,0.55,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.116, 0.972, 0.121, 0.644, 0.134]",0.418,-0.023,0.695
U089,P014,add_to_cart,0.665,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.954, 0.112, 0.256, 0.465, 0.109]",-0.105,0.255,0.758
U129,P035,view,0.236,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.628, 0.846, 0.508, 0.331, 0.603]",0.94,-0.714,0.257
U178,P084,add_to_cart,0.671,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.071, 0.766, 0.605, 0.148, 0.881]",0.94,-0.092,0.895
U173,P079,review,0.371,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.568, 0.817, 0.33, 0.93, 0.125]",-0.525,0.994,0.54
U092,P003,review,0.817,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.706, 0.782, 0.855, 0.851, 0.283]",-0.236,0.055,0.787
U137,P044,add_to_cart,0.427,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.368, 0.745, 0.448, 0.126, 0.969]",-0.668,-0.305,0.145
U151,P033,view,0.255,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.706, 0.05, 0.938, 0.843, 0.372]",0.039,0.215,0.372
U112,P097,add_to_cart,0.69,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.012, 0.727, 0.854, 0.372, 0.742]",0.695,-0.284,0.8
U040,P001,purchase,0.899,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.055, 0.771, 0.725, 0.213, 0.457]",0.158,-0.335,0.808
U097,P085,add_to_cart,0.525,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.691, 0.17, 0.541, 0.37, 0.802]",-0.977,0.334,0.358
U164,P001,view,0.166,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.431, 0.622, 0.057, 0.981, 0.028]",-0.702,-0.252,-0.108
U120,P060,review,0.799,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.371, 0.968, 0.701, 0.186, 0.028]",0.816,0.225,1.093
U067,P087,review,0.624,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.461, 0.585, 0.261, 0.682, 0.824]",-0.601,0.696,0.618
U074,P053,purchase,0.709,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.181, 0.073, 0.348, 0.704, 0.824]",0.966,0.418,1.143
U158,P085,add_to_cart,0.569,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.983, 0.849, 0.684, 0.481, 0.43]",0.63,0.845,1.028
U146,P011,purchase,0.734,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.732, 0.378, 0.381, 0.174, 0.626]",0.135,0.917,1.06
U065,P011,purchase,0.971,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.608, 0.445, 0.626, 0.015, 0.521]",-0.474,-0.492,0.635
U067,P054,purchase,0.759,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.855, 0.392, 0.506, 0.861, 0.457]",-0.129,-0.035,0.684
U035,P097,view,0.213,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.028, 0.572, 0.282, 0.805, 0.234]",0.088,0.747,0.495
U059,P021,purchase,0.76,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.103, 0.594, 0.885, 0.109, 0.839]",0.318,-0.264,0.785
U050,P044,view,0.142,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.282, 0.869, 0.186, 0.658, 0.384]",-0.673,-0.598,-0.269
U050,P044,purchase,0.978,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.787, 0.636, 0.087, 0.187, 0.58]",0.864,-0.255,1.173
U174,P100,add_to_cart,0.427,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.846, 0.556, 0.279, 0.432, 0.36]",-0.65,-0.287,0.136
U051,P047,purchase,0.89,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.132, 0.359, 0.307, 0.229, 0.515]",-0.598,0.187,0.792
U030,P026,view,0.342,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.778, 0.028, 0.708, 0.043, 0.598]",-0.999,-0.277,-0.038
U060,P057,view,0.163,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.571, 0.624, 0.715, 0.752, 0.278]",-0.094,0.374,0.26
U192,P034,purchase,0.8,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.9, 0.301, 0.096, 0.925, 0.318]",0.419,0.608,1.145
U177,P004,view,0.244,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.936, 0.517, 0.733, 0.55, 0.342]",-0.419,-0.772,-0.105
U091,P042,add_to_cart,0.459,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.655, 0.035, 0.606, 0.627, 0.263]",0.487,0.478,0.789
U047,P097,review,0.735,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.284, 0.988, 0.557, 0.76, 0.356]",0.672,-0.798,0.739
U138,P070,add_to_cart,0.414,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.937, 0.918, 0.759, 0.406, 0.847]",-0.598,-0.328,0.155
U013,P035,view,0.332,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.009, 0.788, 0.837, 0.146, 0.1]",-0.334,-0.248,0.148
U090,P006,view,0.298,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.759, 0.53, 0.818, 0.207, 0.183]",0.748,-0.237,0.404
U029,P060,add_to_cart,0.503,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.75, 0.212, 0.279, 0.952, 0.95]",-0.487,-0.354,0.225
U175,P043,add_to_cart,0.541,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.618, 0.265, 0.195, 0.184, 0.53]",-0.316,-0.326,0.388
U092,P046,add_to_cart,0.596,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.506, 0.484, 0.747, 0.27, 0.76]",0.434,-0.408,0.572
U086,P067,view,0.132,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.831, 0.839, 0.744, 0.393, 0.49]",-0.081,0.793,0.343
U172,P006,purchase,0.739,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.499, 0.773, 0.891, 0.373, 0.861]",0.887,0.477,1.143
U083,P067,purchase,0.824,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.619, 0.644, 0.927, 0.723, 0.199]",0.169,-0.334,0.798
U182,P040,purchase,0.859,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.335, 0.312, 0.703, 0.087, 0.626]",0.496,0.648,1.211
U011,P083,view,0.184,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.571, 0.53, 0.351, 0.585, 0.685]",0.491,0.0,0.312
U090,P073,view,0.239,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.646, 0.668, 0.823, 0.639, 0.345]",0.795,0.352,0.587
U061,P063,purchase,0.858,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.627, 0.5, 0.941, 0.016, 0.696]",-0.582,-0.072,0.626
U005,P095,purchase,0.797,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.312, 0.021, 0.235, 0.261, 0.974]",0.123,-0.127,0.805
U022,P024,review,0.635,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.334, 0.213, 0.272, 0.537, 0.042]",-0.7,0.023,0.431
U173,P041,review,0.321,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.738, 0.121, 0.605, 0.116, 0.903]",-0.869,0.721,0.297
U198,P017,add_to_cart,0.594,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.159, 0.467, 0.436, 0.99, 0.051]",-0.384,0.864,0.78
U122,P032,add_to_cart,0.557,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.356, 0.185, 0.68, 0.692, 0.752]",0.511,0.561,0.874
U159,P094,add_to_cart,0.593,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.776, 0.188, 0.781, 0.849, 0.26]",0.182,0.298,0.758
U072,P088,review,0.464,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.317, 0.737, 0.273, 0.672, 0.588]",0.853,-0.738,0.456
U177,P060,review,0.438,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.68, 0.525, 0.245, 0.998, 0.223]",-0.484,-0.796,0.036
U166,P026,view,0.12,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.101, 0.908, 0.552, 0.87, 0.233]",0.09,-0.625,-0.088
U048,P067,add_to_cart,0.42,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.531, 0.292, 0.533, 0.003, 0.629]",0.036,-0.802,0.16
U099,P062,review,0.641,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.014, 0.523, 0.91, 0.002, 0.581]",-0.178,-0.698,0.339
U115,P055,review,0.33,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.427, 0.027, 0.815, 0.207, 0.651]",0.374,-0.788,0.229
U016,P058,purchase,0.769,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.62, 0.608, 0.724, 0.501, 0.92]",-0.785,-0.78,0.313
U131,P079,purchase,0.944,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.654, 0.343, 0.463, 0.701, 0.601]",0.23,-0.373,0.949
U188,P064,purchase,0.925,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.153, 0.229, 0.321, 0.422, 0.715]",-0.955,-0.738,0.401
U035,P095,review,0.56,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.245, 0.641, 0.365, 0.639, 0.265]",0.526,-0.857,0.478
U011,P088,review,0.731,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.71, 0.711, 0.915, 0.54, 0.409]",0.633,-0.404,0.816
U070,P044,review,0.89,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.113, 0.595, 0.744, 0.175, 0.548]",-0.731,0.14,0.706
U096,P064,review,0.758,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.996, 0.268, 0.332, 0.299, 0.911]",-0.644,-0.14,0.505
U029,P066,review,0.329,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.208, 0.264, 0.352, 0.751, 0.97]",-0.011,-0.191,0.236
U091,P052,purchase,0.984,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.041, 0.594, 0.962, 0.32, 0.167]",0.58,-0.959,0.827
U062,P021,review,0.635,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.866, 0.75, 0.133, 0.075, 0.9]",0.88,0.086,0.883
U091,P073,review,0.502,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.662, 0.273, 0.001, 0.798, 0.118]",0.543,0.281,0.712
U170,P061,add_to_cart,0.626,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.72, 0.187, 0.639, 0.502, 0.459]",-0.357,-0.366,0.452
U082,P080,add_to_cart,0.473,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.589, 0.927, 0.463, 0.883, 0.316]",-0.412,0.215,0.434
U006,P076,purchase,0.912,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.076, 0.958, 0.47, 0.772, 0.63]",-0.895,-0.875,0.357
U149,P032,review,0.594,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.93, 0.689, 0.61, 0.08, 0.215]",-0.892,0.982,0.584
U096,P064,review,0.55,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.375, 0.322, 0.49, 0.378, 0.789]",0.278,0.302,0.747
U050,P032,review,0.451,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.033, 0.508, 0.121, 0.354, 0.994]",-0.968,0.745,0.362
U020,P090,add_to_cart,0.585,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.842, 0.952, 0.576, 0.55, 0.46]",-0.897,0.564,0.524
U096,P033,purchase,0.996,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.747, 0.216, 0.52, 0.273, 0.848]",-0.12,0.319,1.104
U199,P083,view,0.11,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.634, 0.413, 0.371, 0.82, 0.824]",-0.737,0.002,-0.133
U116,P020,review,0.733,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.819, 0.657, 0.798, 0.94, 0.628]",-0.748,-0.059,0.449
U112,P090,add_to_cart,0.467,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.719, 0.755, 0.047, 0.583, 0.427]",-0.22,-0.14,0.337
U028,P043,purchase,0.932,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.834, 0.369, 0.331, 0.798, 0.494]",-0.577,-0.189,0.72
U135,P035,purchase,0.843,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.361, 0.03, 0.632, 0.987, 0.474]",0.59,0.967,1.311
U093,P019,add_to_cart,0.467,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.845, 0.08, 0.083, 0.187, 0.313]",-0.935,0.06,0.161
U116,P027,view,0.339,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.238, 0.096, 0.015, 0.869, 0.877]",-0.063,0.06,0.366
U097,P059,purchase,0.752,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.521, 0.711, 0.73, 0.738, 0.148]",0.477,0.894,1.138
U141,P030,review,0.429,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.528, 0.69, 0.032, 0.493, 0.735]",-0.459,-0.364,0.213
U009,P082,purchase,0.781,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.511, 0.211, 0.746, 0.248, 0.826]",-0.251,-0.921,0.448
U140,P061,review,0.804,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.024, 0.987, 0.507, 0.472, 0.682]",-0.144,0.946,1.01
U145,P049,add_to_cart,0.632,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.452, 0.972, 0.1, 0.483, 0.51]",-0.839,0.13,0.378
U039,P025,view,0.152,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.681, 0.15, 0.961, 0.771, 0.312]",0.284,-0.479,0.055
U004,P081,purchase,0.714,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.32, 0.853, 0.928, 0.364, 0.064]",-0.544,0.594,0.756
U047,P059,view,0.103,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.937, 0.397, 0.252, 0.039, 0.589]",0.414,-0.029,0.174
U075,P006,review,0.559,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.127, 0.258, 0.364, 0.163, 0.543]",0.359,0.561,0.824
U068,P063,purchase,0.834,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.966, 0.075, 0.466, 0.883, 0.611]",0.981,0.504,1.246
U031,P007,view,0.145,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.528, 0.846, 0.342, 0.661, 0.896]",-0.028,0.565,0.267
U103,P081,view,0.342,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.123, 0.166, 0.581, 0.087, 0.715]",-0.59,0.557,0.312
U093,P040,add_to_cart,0.576,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.008, 0.212, 0.86, 0.002, 0.042]",0.526,-0.192,0.673
U039,P035,purchase,0.977,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.487, 0.008, 0.231, 0.674, 0.604]",0.868,0.237,1.347
U184,P007,purchase,0.759,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.632, 0.894, 0.613, 0.876, 0.485]",-0.0,0.275,0.864
U155,P076,view,0.198,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.133, 0.772, 0.422, 0.627, 0.79]",-0.09,-0.961,-0.136
U123,P020,review,0.39,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.83, 0.087, 0.687, 0.028, 0.119]",-0.095,-0.07,0.31
U015,P070,review,0.369,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.176, 0.507, 0.261, 0.604, 0.881]",-0.354,-0.259,0.176
U195,P055,purchase,0.808,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.008, 0.043, 0.44, 0.889, 0.192]",0.763,0.09,1.064
U010,P082,view,0.156,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.559, 0.272, 0.854, 0.91, 0.541]",-0.46,0.573,0.167
U132,P063,purchase,0.87,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.029, 0.377, 0.957, 0.46, 0.466]",0.734,-0.611,0.893
U164,P063,purchase,0.993,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.249, 0.976, 0.029, 0.43, 0.547]",-0.553,0.113,0.838
U176,P061,purchase,0.714,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.936, 0.103, 0.944, 0.392, 0.398]",-0.571,-0.729,0.318
U019,P081,add_to_cart,0.512,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.953, 0.607, 0.777, 0.077, 0.608]",-0.755,-0.6,0.085
U132,P006,add_to_cart,0.617,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.447, 0.686, 0.023, 0.717, 0.145]",0.693,-0.004,0.775
U035,P082,add_to_cart,0.606,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.124, 0.684, 0.972, 0.138, 0.476]",-0.034,-0.839,0.388
U141,P097,add_to_cart,0.513,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.556, 0.977, 0.753, 0.163, 0.572]",-0.389,-0.744,0.143
U056,P056,view,0.121,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.515, 0.233, 0.68, 0.134, 0.323]",-0.502,0.563,0.097
U200,P089,view,0.166,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.839, 0.889, 0.544, 0.326, 0.329]",-0.104,-0.066,0.095
U110,P043,purchase,0.756,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.259, 0.552, 0.991, 0.136, 0.4]",-0.872,-0.122,0.425
U150,P041,view,0.299,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.473, 0.713, 0.765, 0.791, 0.4]",-0.344,0.428,0.293
U150,P064,add_to_cart,0.418,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.099, 0.437, 0.617, 0.704, 0.409]",0.221,-0.486,0.363
U143,P012,purchase,0.969,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.715, 0.197, 0.636, 0.695, 0.215]",0.544,-0.382,0.97
U198,P072,review,0.79,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.937, 0.927, 0.733, 0.655, 0.027]",-0.297,0.285,0.809
U183,P062,purchase,0.831,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.676, 0.734, 0.339, 0.969, 0.523]",0.6,-0.56,0.796
U105,P001,view,0.145,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.432, 0.638, 0.493, 0.098, 0.275]",-0.147,-0.72,-0.133
U037,P073,add_to_cart,0.488,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.172, 0.659, 0.754, 0.714, 0.601]",0.4,0.833,0.836
U181,P058,review,0.348,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.075, 0.146, 0.402, 0.541, 0.187]",-0.772,-0.99,-0.155
U019,P034,review,0.64,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.838, 0.799, 0.784, 0.117, 0.739]",-0.115,0.999,0.895
U159,P035,view,0.357,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.701, 0.448, 0.018, 0.919, 0.935]",-0.202,-0.67,0.118
U053,P027,view,0.358,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.869, 0.969, 0.854, 0.806, 0.434]",-0.895,0.539,0.27
U195,P070,view,0.282,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.281, 0.315, 0.384, 0.141, 0.868]",-0.443,-0.962,-0.131
U053,P042,add_to_cart,0.519,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.414, 0.359, 0.123, 0.039, 0.026]",-0.541,-0.897,0.085
U101,P068,view,0.254,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.787, 0.049, 0.558, 0.453, 0.396]",-0.11,0.722,0.405
U010,P056,purchase,0.772,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.096, 0.072, 0.955, 0.615, 0.573]",0.143,0.761,1.032
U111,P047,add_to_cart,0.609,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.521, 0.645, 0.457, 0.028, 0.349]",0.759,-0.303,0.785
U139,P042,view,0.288,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.588, 0.799, 0.557, 0.569, 0.725]",0.709,0.633,0.723
U169,P094,purchase,0.945,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.589, 0.147, 0.152, 0.758, 0.536]",0.207,-0.608,0.795
U161,P075,purchase,0.98,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.917, 0.927, 0.51, 0.651, 0.168]",0.304,-0.887,0.785
U094,P047,review,0.859,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.329, 0.61, 0.875, 0.043, 0.608]",0.654,-0.196,1.017
U047,P089,review,0.818,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.131, 0.704, 0.008, 0.42, 0.841]",0.135,0.14,0.928
